domain,config_name,start_url,date,brand,url,reference_code,image_url,id,list,brand.1,category,currency,price,name,variant,reference,collection,productMaterialStrap,productSpecialEdition,size,isAvailable,isSellable,Exchange Rate,price_eur
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02616-submersible-carbotech.html,PNPAM02616,,PAM02616,Submersible,PANERAI,Watch,GBP,16300,PNPAM02616 - Submersible Carbotech™,Nero - Nero,PAM02616,Submersible,Nero,False,47mm,True,True,0.8312,19610.202117420595
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02979-submersible-marina-militare-carbotech.html,PNPAM02979,,PAM02979,Submersible,PANERAI,Watch,GBP,17400,PNPAM02979 - Submersible Marina Militare Carbotech™,Tone on Tone - Gris,PAM02979,Submersible,Tone on Tone,False,47mm,True,True,0.8312,20933.58999037536
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02239-submersible-forze-speciali.html,PNPAM02239,,PAM02239,Submersible,PANERAI,Watch,GBP,26200,PNPAM02239 - Submersible Forze Speciali,Black - NON APPLICABLE,PAM02239,Submersible,Black,False,47mm,True,True,0.8312,31520.692974013473
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01521-submersible-chrono-navy-seals-titanio.html,PNPAM01521,,PAM01521,Submersible,PANERAI,Watch,GBP,29700,PNPAM01521 - Submersible Chrono Navy SEALs Titanio,Black - NON APPLICABLE,PAM01521,Submersible,Black,True,47mm,False,True,0.8312,35731.472569778634
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01670-submersible-gmt-titanio-mike-horn-experience-edition.html,PNPAM01670,,PAM01670,Submersible,PANERAI,Watch,GBP,65500,PNPAM01670 - Submersible GMT Titanio Mike Horn Experience Edition,Orange - NON APPLICABLE,PAM01670,Submersible,Orange,False,47mm,False,True,0.8312,78801.73243503369
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01800-submersible-elux-lab-id.html,PNPAM01800,,PAM01800,Submersible,PANERAI,Watch,GBP,74400,PNPAM01800 - Submersible Elux LAB-ID,Bleue foncée - Bleu foncée,PAM01800,Submersible,Bleue foncée,True,49mm,False,True,0.8312,89509.14340712223
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02164-submersible-goldtech.html,PNPAM02164,,PAM02164,Submersible,PANERAI,Watch,GBP,25800,PNPAM02164 - Submersible Goldtech™,Black - NON APPLICABLE,PAM02164,Submersible,Black,False,42mm,True,True,0.8312,31039.46102021174
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam02070-submersible-quarantaquattro-goldtech-orocarbo.html,PNPAM02070,,PAM02070,Submersible,PANERAI,Watch,GBP,28700,PNPAM02070 - Submersible QuarantaQuattro Goldtech™ OroCarbo,Black - NON APPLICABLE,PAM02070,Submersible,Black,False,44mm,True,True,0.8312,34528.3926852743
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam01074-submersible-bronzo.html,PNPAM01074,,PAM01074,Submersible,PANERAI,Watch,GBP,15200,PNPAM01074 - Submersible Bronzo ,ecru - Blue,PAM01074,Submersible,ecru,False,42mm,True,False,0.8312,18286.81424446583
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/submersible/pam00968-submersible-bronzo.html,PNPAM00968,,PAM00968,Submersible,PANERAI,Watch,GBP,16100,PNPAM00968 - Submersible Bronzo,Beige - Brown,PAM00968,Submersible,Beige,False,47mm,False,False,0.8312,19369.58614051973
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/luminor.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/luminor/pam01623-luminor-base-logo.html,PNPAM01623,"https://www.panerai.com/content/dam/rcq/pan/mc/zJ/or/Ov/Rc/aM/aT/bm/8A/yR/4Q/mczJorOvRcaMaTbm8AyR4Q.png.transform.global_square_image_960.png, /content/dam/rcq/pan/mc/zJ/or/Ov/Rc/aM/aT/bm/8A/yR/4Q/mczJorOvRcaMaTbm8AyR4Q.png.transform.global_square_image_960_2x.png 2x",PAM01623,Luminor,PANERAI,Watch,GBP,4900,Luminor Base Logo,Dark blue - NON APPLICABLE,PAM01623,Luminor,Dark blue,False,44mm,True,True,0.8312,5895.091434071222
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/luminor.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,PNPAM01087,"https://www.panerai.com/content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png.transform.global_square_image_960.png, /content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png.transform.global_square_image_960_2x.png 2x",PAM01087,Luminor,PANERAI,Watch,GBP,4900,Luminor Base Logo, - NON APPLICABLE,PAM01087,Luminor,,False,44mm,True,True,0.8312,5895.091434071222
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/luminor.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,PNPAM01086,"https://www.panerai.com/content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png.transform.global_square_image_960.png, /content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png.transform.global_square_image_960_2x.png 2x",PAM01086,Luminor,PANERAI,Watch,GBP,4900,Luminor Base Logo,Beige - Light brown,PAM01086,Luminor,Beige,False,44mm,True,True,0.8312,5895.091434071222
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/luminor.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,PNPAM01084,"https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png.transform.global_square_image_960.png, /content/dam/rcq/pan/20/83/65/0/2083650.png.transform.global_square_image_960_2x.png 2x",PAM01084,Luminor,PANERAI,Watch,GBP,5300,Luminor Logo,ecru - Black,PAM01084,Luminor,ecru,False,44mm,True,True,0.8312,6376.323387872954
panerai.com,panerai_all,https://www.panerai.com/gb/en/collections/watch-collection/luminor.html,2025/2/17,Panerai_watches_GBP,https://www.panerai.com/gb/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,PNPAM01085,"https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png.transform.global_square_image_960.png, /content/dam/rcq/pan/20/61/23/0/2061230.png.transform.global_square_image_960_2x.png 2x",PAM01085,Luminor,PANERAI,Watch,GBP,5300,Luminor Logo ,Beige - Dark blue,PAM01085,Luminor,Beige,False,44mm,True,True,0.8312,6376.323387872954
