domain,config_name,start_url,date,brand,url,reference_code,image_url,id,list,brand,category,currency,price,name,variant,reference,collection,productMaterialStrap,productSpecialEdition,size,isAvailable,isSellable
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02231-submersible-carbotech.html,PNPAM02231,"https://www.panerai.com/content/dam/rcq/pan/23/44/85/1/2344851.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/44/85/1/2344851.png.transform.global_square_image_960_2x.png 2x",PAM02231,Submersible,PANERAI,Watch,EUR,17900,Submersible Carbotech™,Noir - NON APPLICABLE,PAM02231,Submersible,Noir,FALSE,42mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01074-submersible-bronzo.html,PNPAM01074,"https://www.panerai.com/content/dam/rcq/pan/21/33/34/5/2133345.png.transform.global_square_image_960.png, /content/dam/rcq/pan/21/33/34/5/2133345.png.transform.global_square_image_960_2x.png 2x",PAM01074,Submersible,PANERAI,Watch,EUR,18000,Submersible Bronzo ,Ecru - Bleu,PAM01074,Submersible,Ecru,FALSE,42mm,FALSE,FALSE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01232-submersible-quarantaquattro-carbotech.html,PNPAM01232,"https://www.panerai.com/content/dam/rcq/pan/23/07/80/7/2307807.png.transform.global_square_image_960.png, /content/dam/rcq/pan/23/07/80/7/2307807.png.transform.global_square_image_960_2x.png 2x",PAM01232,Submersible,PANERAI,Watch,EUR,18900,Submersible QuarantaQuattro Carbotech™,Aucun - Bleu foncé,PAM01232,Submersible,Aucun,FALSE,44mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01241-submersible-s-brabus-blue-shadow-edition.html,PNPAM01241,"https://www.panerai.com/content/dam/rcq/pan/oF/6M/5k/s2/QZ/mz/vr/7E/2B/xX/Cw/oF6M5ks2QZmzvr7E2BxXCw.png.transform.global_square_image_960.png, /content/dam/rcq/pan/oF/6M/5k/s2/QZ/mz/vr/7E/2B/xX/Cw/oF6M5ks2QZmzvr7E2BxXCw.png.transform.global_square_image_960_2x.png 2x",PAM01241,Submersible,PANERAI,Watch,EUR,52000,Submersible S Brabus Blue Shadow Edition,Ton sur Ton - Noir,PAM01241,Submersible,Ton sur Ton,TRUE,47mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01403-submersible-s-brabus.html,PNPAM01403,"https://www.panerai.com/content/dam/rcq/pan/oC/_4/ES/d5/BU/O9/lM/dv/lo/xf/WA/oC_4ESd5BUO9lMdvloxfWA.png.transform.global_square_image_960.png, /content/dam/rcq/pan/oC/_4/ES/d5/BU/O9/lM/dv/lo/xf/WA/oC_4ESd5BUO9lMdvloxfWA.png.transform.global_square_image_960_2x.png 2x",PAM01403,Submersible,PANERAI,Watch,EUR,52000,Submersible S Brabus,Ton sur Ton - Noir,PAM01403,Submersible,Ton sur Ton,TRUE,47mm,FALSE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01283-submersible-s-brabus-carbotech.html,PNPAM01283,"https://www.panerai.com/content/dam/rcq/pan/jf/I5/1A/xf/H0/GP/ia/7k/wB/J6/6g/jfI51AxfH0GPia7kwBJ66g.png.transform.global_square_image_960.png, /content/dam/rcq/pan/jf/I5/1A/xf/H0/GP/ia/7k/wB/J6/6g/jfI51AxfH0GPia7kwBJ66g.png.transform.global_square_image_960_2x.png 2x",PAM01283,Submersible,PANERAI,Watch,EUR,52000,Submersible S Brabus Carbotech™,Ton sur Ton - Noir,PAM01283,Submersible,Ton sur Ton,TRUE,47mm,FALSE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02305-submersible-titanio.html,PNPAM02305,"https://www.panerai.com/content/dam/rcq/pan/14/62/63/3/1462633.png.transform.global_square_image_960.png, /content/dam/rcq/pan/14/62/63/3/1462633.png.transform.global_square_image_960_2x.png 2x",PAM02305,Submersible,PANERAI,Watch,EUR,10900,Submersible Titanio,Noir - NON APPLICABLE,PAM02305,Submersible,Noir,FALSE,47mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02692-submersible-bmg-tech.html,PNPAM02692,"https://www.panerai.com/content/dam/rcq/pan/18/97/17/9/1897179.png.transform.global_square_image_960.png, /content/dam/rcq/pan/18/97/17/9/1897179.png.transform.global_square_image_960_2x.png 2x",PAM02692,Submersible,PANERAI,Watch,EUR,15100,Submersible BMG-TECH™,Noir - NON APPLICABLE,PAM02692,Submersible,Noir,FALSE,47mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam01669-submersible-navy-seals-titanio.html,PNPAM01669,"https://www.panerai.com/content/dam/rcq/pan/eG/rv/dP/iO/Qn/-d/v5/u5/Ki/h6/gQ/eGrvdPiOQn-dv5u5Kih6gQ.png.transform.global_square_image_960.png, /content/dam/rcq/pan/eG/rv/dP/iO/Qn/-d/v5/u5/Ki/h6/gQ/eGrvdPiOQn-dv5u5Kih6gQ.png.transform.global_square_image_960_2x.png 2x",PAM01669,Submersible,PANERAI,Watch,EUR,13900,Submersible Navy SEALs Titanio,Noir - NON APPLICABLE,PAM01669,Submersible,Noir,FALSE,47mm,TRUE,TRUE
panerai.com,panerai_all,https://www.panerai.com/fr/fr/collections/watch-collection/submersible.html,2025/2/17,Panerai_watches_EUR,https://www.panerai.com/fr/fr/collections/watch-collection/submersible/pam02616-submersible-carbotech.html,PNPAM02616,"https://www.panerai.com/content/dam/rcq/pan/Nq/2k/6V/4f/R3/Gc/UV/nN/ww/Th/cw/Nq2k6V4fR3GcUVnNwwThcw.png.transform.global_square_image_960.png, /content/dam/rcq/pan/Nq/2k/6V/4f/R3/Gc/UV/nN/ww/Th/cw/Nq2k6V4fR3GcUVnNwwThcw.png.transform.global_square_image_960_2x.png 2x",PAM02616,Submersible,PANERAI,Watch,EUR,19300,Submersible Carbotech™,Nero - Nero,PAM02616,Submersible,Nero,FALSE,47mm,TRUE,TRUE
